규칙,청산,진입,n,승률,PF,평균%,누적%,MDD,흑자월,무작위PF,무작위max,초과,점수
VWAP 2σ 복귀,2.0/4.0/576,시장가,297,40.74074074074074,0.9013921937971232,-0.11171037499090267,-33.978253708767035,-45.49545595985288,4/13,0.8540578686088843,0.9267461311679103,-0.02535393737078706,-0.02535393737078706
VWAP 2σ 복귀,2.0/4.0/576,지정가,284,43.309859154929576,1.0062918905821783,0.006829467594740338,-5.955764732293678,-36.851214642616505,8/13,0.8636511374813933,1.0186887095894253,-0.012396819007246984,-0.012396819007246984
흐름괴리,1.0/2.0/144,시장가,284,41.19718309859155,0.8286336895137174,-0.09129685052696829,-24.18922022712583,-29.286342048030978,5/13,0.8933645919536799,0.9111169279955399,-0.08248323848182249,-0.08248323848182249
흐름괴리,1.0/2.0/144,지정가,235,45.95744680851064,1.0179076416074204,0.009039452286559363,0.5501099199241466,-18.76364369036716,8/13,0.9050958505756409,0.9562541720848121,0.061653469522608306,0.061653469522608306
흐름괴리,1.0/3.0/288,시장가,241,31.535269709543567,0.7338872901352854,-0.18955824399770707,-38.205957327073435,-43.47921547633269,5/13,0.9295918961606017,0.9929804855179686,-0.25909319538268316,-0.25909319538268316
흐름괴리,1.0/3.0/288,지정가,207,35.748792270531396,0.9466772867754304,-0.03518988915278156,-9.133188535822455,-23.770041943538068,6/13,1.019647135117496,1.1933966724160532,-0.2467193856406228,-0.2467193856406228
흐름괴리,1.5/3.0/288,시장가,214,39.719626168224295,0.8177947408529302,-0.15173163954630864,-29.942042671568338,-37.62202648462395,4/13,0.9344614271746283,1.0609249101006597,-0.24313016924772946,-0.24313016924772946
흐름괴리,1.5/3.0/288,지정가,188,40.95744680851064,0.8638777995641261,-0.11455532907414795,-21.63969457440238,-31.74411368258153,6/13,1.0104184087709358,1.1785808916177432,-0.314703092053617,-0.314703092053617
흐름괴리,1.5/4.5/576,시장가,176,36.36363636363637,0.9992017237141491,-0.0007572848421959287,-4.248973214452789,-37.2680471780513,7/13,0.8728671230955546,0.9974530566825819,0.0017486670315671748,0.0017486670315671748
흐름괴리,1.5/4.5/576,지정가,159,33.33333333333333,1.0319354440172823,0.030650410452842152,0.8275395670910513,-32.79924106799748,7/13,0.9092277585176948,1.0726681856380054,-0.040732741620723045,-0.040732741620723045
흐름괴리,2.0/4.0/576,시장가,163,42.944785276073624,1.0296519982446832,0.031603630764720426,0.4202526255190797,-26.522983916413224,8/13,0.9493414508330105,1.037210544013564,-0.007558545768880709,-0.007558545768880709
흐름괴리,2.0/4.0/576,지정가,146,42.465753424657535,1.1578003403917525,0.16148082127680222,21.146458765336252,-19.09071446865123,8/13,0.9359686141448528,1.0200610811714546,0.13773925922029795,0.13773925922029795
일수축 돌파,1.0/2.0/144,시장가,136,38.970588235294116,0.9516940919708154,-0.02501681901703033,-4.245473267059197,-18.939160868973403,5/12,0.7604036037259959,0.8429875002438116,0.10870659172700381,0.10870659172700381
일수축 돌파,1.0/2.0/144,지정가,129,41.86046511627907,0.9799278718140226,-0.010209445807251945,-2.176764206062509,-15.630734793265045,5/12,0.762548151537419,0.8165930377780138,0.1633348340360088,0.1633348340360088
일수축 돌파,1.0/3.0/288,시장가,116,34.48275862068966,1.0850206553020243,0.05653206188348747,5.210998955185198,-18.794627160828405,5/12,0.7510800414699741,0.8226533510895037,0.26236730421252064,0.26236730421252064
일수축 돌파,1.0/3.0/288,지정가,111,33.33333333333333,1.091405170184655,0.05957836528578341,5.368436431243717,-13.208951978999295,6/12,0.7520340139472652,0.7824394743951196,0.30896569578953537,0.30896569578953537
일수축 돌파,1.5/3.0/288,시장가,104,42.30769230769231,1.138796933123325,0.09909246814932898,9.109931529078551,-12.049449842167093,5/12,0.8137134425742826,0.869726393358747,0.26907053976457795,0.26907053976457795
일수축 돌파,1.5/3.0/288,지정가,101,42.57425742574257,1.130972509170326,0.09373485150794984,8.264991218645878,-11.665781145515485,5/12,0.7456949570006253,0.772763722760517,0.358208786409809,0.358208786409809
일수축 돌파,1.5/4.5/576,시장가,88,43.18181818181818,1.331900552866541,0.291075786998628,26.08244532701123,-18.443398954158276,9/12,0.8870957524494855,1.0314304542242674,0.3004700986422737,0.3004700986422737
일수축 돌파,1.5/4.5/576,지정가,85,42.35294117647059,1.2910841692345485,0.2532616786515693,21.265047904576463,-13.163682685849832,8/12,0.711097423277646,0.7537082088510797,0.5373759603834688,0.5373759603834688
일수축 돌파,2.0/4.0/576,시장가,78,51.28205128205128,1.4585461865887115,0.4233282005174087,35.73783954423191,-8.239160047854643,10/12,0.864084424757038,1.0410745660229122,0.41747162056579934,0.41747162056579934
일수축 돌파,2.0/4.0/576,지정가,77,50.649350649350644,1.4294781072643092,0.39723866692694526,32.559271972270174,-7.920276134760396,9/12,0.7587352613827463,0.8515263501153919,0.5779517571489173,0.5779517571489173
일수축 돌파 페이드,1.0/2.0/144,시장가,129,39.53488372093023,0.755386475234878,-0.12978225363863172,-16.046829769263084,-19.853528403435703,2/12,0.8014408550453901,0.908868044884537,-0.15348156964965898,-0.15348156964965898
